GP_NAME,LAT,LONG
AHO YANGTAM,27.31844,88.59744
BEYENG-PHEGYANG,27.25563,88.50463
MARTAM NAZITAM BLK,27.28557,88.53973
MARTAM NAZITAM GP,27.27703,88.52833
NAMLI,27.26868,88.57802
SAMLIK MARCHAK,27.29222,88.59003
CHUJACHEN,27.21343,88.68436
DOLEPCHEN,27.19643,88.67688
LINGTAM PRADAMCHEN,27.20758,88.73847
REGHU BLOCK,27.20617,88.68583
REGOH,27.20818,88.72608
ROLEP LAMTEN,27.21358,88.66753
RONGLI CHANGELAKHA,27.20813,88.69447
SUBANEYDARA,27.22127,88.73768
AARITAR GPU,27.17772,88.65682
REHNOK BLOCK,27.25427,88.63737
REHNOK GPU,27.17818,88.64073
SUDUNGLAKHA GPU,27.19853,88.65007
TARPIN GPU,27.17823,88.64409
MANGAN BDO OFFICE,27.50194,88.53489
NAMOK SHEYAM,27.43306,88.52986
RAMTHANG TANGYEK,27.40317,88.55169
RINGHIM NAMPATAM,27.49383,88.53239
SENTAM,27.51689,88.55419
TINGCHIM MANGSHILA,27.44536,88.52647
TOONG NAGA,27.54276,88.63532
POKLOK DENCHUNG,27.16277,88.30839
SALGHARI,27.14001,88.30426
TINIK CHISOPANI,27.16113,88.30791
ASSANTHANG,27.15587,88.32135
DAMTHANG,27.16843,88.39117
KITAM -MANPUR,27.12123,88.34712
MAMLAY-KAMRANG,27.18812,88.36028
MANIRAM-PHALIDARA,27.16005,88.40918
MIKHOLA-BOMTAR,27.14572,88.34997
RONG-BULL,27.1356,88.36893
SORAK-SHYAMPANI,27.127,88.33712
TINGRITHANG-PABONG,27.20708,88.35717
DARAP,27.30467,88.18847
GAYALSHING BDO OFFICE,27.29312,88.24915
GEYZING-OMCHUNG,27.27897,88.25475
LINGCHOM-TIKJYA,27.27942,88.20848
SARDUNG-LUNGZIK,27.27688,88.18477
SINGYANG-CHUMBUNG,27.30588,88.24028
YANGTEN,27.31382,88.26838
YANGTHANG,27.28658,88.23458
