FPOI ,LAT,LONG,GPs connected,
MARTAM,27.25728,88.50813,2,
MARTAM,27.27703,88.52833,1,
MARTAM,27.27723,88.57868,1,
MARTAM,27.27783,88.59028,1,
MARTAM,27.29393,88.59028,1,
REGHU,27.20343,88.69903,7,
REGHU,27.22127,88.73768,1,
RHENOCK,27.17772,88.65667,1,
RHENOCK,27.17813,88.64412,1,
RHENOCK,27.17818,88.64067,1,
RHENOCK,27.17963,88.63733,2,
MANGAN,27.41153,88.58639,1,
MANGAN,27.49419,88.53144,5,
MANGAN,27.50194,88.53489,1,
JORETHANG,27.12986,88.28569,1,
JORETHANG,27.16113,88.30789,2,
NAMCHI,27.12873,88.34712,1,
NAMCHI,27.14572,88.34997,1,
NAMCHI,27.15967,88.41072,1,
NAMCHI,27.16065,88.33002,1,
NAMCHI,27.1684,88.39102,1,
NAMCHI,27.16857,88.16857,1,
NAMCHI,27.16857,88.48002,2,
NAMCHI,27.18812,88.36028,1,
GYALSHING,27.29202,88.25432,1,
GYALSHING,27.29257,88.24063,1,
GYALSHING,27.29293,88.25758,1,
GYALSHING,27.29312,88.24915,1,
GYALSHING,27.30278,88.23148,1,
GYALSHING,27.30278,88.23148,2,
GYALSHING,27.31442,88.26858,1,
31,,,46,
